category,start_time,end_time,duration_s,lat,lon,depth_min_m,depth_max_m,sv_sum,sv_max,sv_max_db,n_hits
individual_fish,2026-06-11 07:07:24,2026-06-11 07:07:27,4,55.756103333333336,12.728648333333332,8.8,9.8,516.9351,228.6565,23.591835515466094,6
individual_fish,2026-06-11 07:07:33,2026-06-11 07:07:33,1,55.75626,12.72905,8.8,9.2,299.4469,224.0629,23.503699526567377,2
school,2026-06-11 07:07:50,2026-06-11 07:07:52,3,55.75664999999999,12.729929999999998,9.2,10.2,2298.66,1396.6605,31.45090850713064,7
individual_fish,2026-06-11 07:07:59,2026-06-11 07:08:02,4,55.756865,12.7303975,9.2,10.2,344.7862,144.8883,21.61033316799037,8
individual_fish,2026-06-11 07:08:04,2026-06-11 07:08:06,3,55.756969999999995,12.730625555555555,8.8,10.2,1978.4978,849.5901,29.29209443073056,9
individual_fish,2026-06-11 07:08:09,2026-06-11 07:08:14,6,55.757100769230775,12.730916923076922,8.8,10.2,6405.245999999999,2579.0876,34.11466093417702,13
individual_fish,2026-06-11 07:08:50,2026-06-11 07:08:52,3,55.75794333333332,12.732908333333334,9.2,10.2,1959.1522,1453.2723,31.623469957898855,6
individual_fish,2026-06-11 07:08:59,2026-06-11 07:09:00,2,55.758129999999994,12.733305000000001,9.8,10.8,974.0879,792.9426,28.992417504884624,6
individual_fish,2026-06-11 07:09:02,2026-06-11 07:09:03,2,55.758199999999995,12.733450000000001,9.2,9.8,716.6481,473.7402,26.755402390606797,4
individual_fish,2026-06-11 07:09:09,2026-06-11 07:09:10,2,55.75835,12.733795,8.8,9.2,532.1126,267.7807,24.277792725058966,4
individual_fish,2026-06-11 07:09:23,2026-06-11 07:09:24,2,55.758641999999995,12.73451,8.2,9.2,607.9225,535.2137,27.28527221647382,5
individual_fish,2026-06-11 07:09:28,2026-06-11 07:09:29,2,55.758728,12.73476,8.8,9.8,499.3399,346.1497,25.39263959554559,5
school,2026-06-11 07:09:33,2026-06-11 07:09:35,3,55.75884666666667,12.735031666666666,9.2,10.2,2649.3417999999997,1282.0717,31.07912313828362,6
individual_fish,2026-06-11 07:09:45,2026-06-11 07:09:47,3,55.75911714285714,12.735619999999999,7.8,8.8,1434.2431,1230.9333,30.90234520659382,7
school,2026-06-11 07:09:56,2026-06-11 07:09:57,2,55.759355,12.736125000000001,8.8,9.2,4410.3594,3803.4504,35.80177757084594,4
individual_fish,2026-06-11 07:09:58,2026-06-11 07:10:00,3,55.759413333333335,12.736258333333334,8.2,9.2,1546.4297,923.1492,29.652718976674848,6
individual_fish,2026-06-11 07:10:04,2026-06-11 07:10:06,3,55.75953625,12.73655625,9.8,11.2,3637.1264,1968.2759,32.94085974913028,8
individual_fish,2026-06-11 07:10:21,2026-06-11 07:10:22,2,55.759883333333335,12.737393333333335,10.2,10.8,193.71710000000002,157.6194,21.97609669970976,3
individual_fish,2026-06-11 07:10:35,2026-06-11 07:10:36,2,55.760191428571424,12.738078571428572,8.2,10.2,2007.5998,724.2787,28.59905713409352,7
individual_fish,2026-06-11 07:10:42,2026-06-11 07:10:43,2,55.76034666666666,12.738396666666667,8.8,9.2,858.9217,640.4279,28.064702435347527,3
individual_fish,2026-06-11 07:10:52,2026-06-11 07:10:55,4,55.760595714285714,12.738931428571428,9.2,10.2,2221.1648999999998,890.8687,29.498137005942226,7
individual_fish,2026-06-11 07:10:57,2026-06-11 07:10:58,2,55.76069,12.739135,9.2,9.8,231.57670000000002,114.4005,20.584279225930754,4
individual_fish,2026-06-11 07:11:04,2026-06-11 07:11:05,2,55.76083,12.739495,9.2,10.2,558.5736,245.4193,23.89908713052406,6
individual_fish,2026-06-11 07:11:26,2026-06-11 07:11:29,4,55.76133,12.740635,8.8,9.8,2225.1725,933.1746,29.699629092580565,8
individual_fish,2026-06-11 07:11:34,2026-06-11 07:11:35,2,55.76148,12.740985,8.8,9.8,3310.9669999999996,2611.3511,34.16865267281199,6
individual_fish,2026-06-11 07:11:48,2026-06-11 07:11:48,1,55.76176,12.74167,8.8,9.8,522.1403,307.4673,24.877989341448917,3
individual_fish,2026-06-11 07:12:44,2026-06-11 07:12:45,2,55.76298,12.744485,9.2,9.8,267.65459999999996,162.0982,22.097781923043588,4
individual_fish,2026-06-11 07:12:48,2026-06-11 07:12:50,3,55.76307800000001,12.744716,9.2,9.8,865.401,492.7842,26.92656774718833,5
school,2026-06-11 07:13:07,2026-06-11 07:13:08,2,55.76345499999999,12.745652499999998,7.2,8.2,4065.1383,3067.0181,34.86716338977897,4
individual_fish,2026-06-11 07:13:13,2026-06-11 07:13:14,2,55.76358999999999,12.745965,8.8,9.2,598.6057000000001,288.3866,24.599750768474635,4
individual_fish,2026-06-11 07:14:14,2026-06-11 07:14:15,2,55.76469,12.74812,9.8,9.8,303.4425,195.3958,22.90915224395919,2
individual_fish,2026-06-11 07:14:30,2026-06-11 07:14:32,3,55.76492,12.748397142857145,9.2,10.2,859.8602000000001,336.9055,25.27508100919242,7
individual_fish,2026-06-11 07:15:41,2026-06-11 07:15:45,5,55.76524333333333,12.7495,8.2,8.8,2244.5016,622.2289,27.939501784522868,9
individual_fish,2026-06-11 07:15:54,2026-06-11 07:15:56,3,55.76517199999999,12.749680000000001,8.8,9.2,2634.5124,1368.528,31.362536874758415,5
school,2026-06-11 07:26:37,2026-06-11 07:26:42,6,55.765026,12.749884000000003,9.8,11.2,3056.1989000000003,796.2809,29.01066298642131,15
individual_fish,2026-06-11 07:27:29,2026-06-11 07:27:31,3,55.765907142857145,12.74888285714286,9.2,10.2,1046.6608,482.2169,26.83242426796577,7
individual_fish,2026-06-11 07:32:01,2026-06-11 07:32:01,1,55.77368,12.74124,5.2,5.8,3634.5342,2526.8552,34.025803556346894,2
individual_fish,2026-06-11 07:32:39,2026-06-11 07:32:40,2,55.77482499999999,12.740065000000001,10.8,11.2,108.0144,81.3533,19.1037517427008,4
school,2026-06-11 07:33:06,2026-06-11 07:33:10,5,55.77564620689654,12.739133103448278,7.2,11.8,90010.99130000001,15099.0811,41.78950517800284,29
individual_fish,2026-06-11 07:38:09,2026-06-11 07:38:09,1,55.78458,12.72953,7.2,7.8,119.64670000000001,116.5125,20.663725209826932,2
individual_fish,2026-06-11 07:38:26,2026-06-11 07:38:27,2,55.78511,12.72894,12.2,12.8,756.9024,724.9638,28.603163212568525,3
individual_fish,2026-06-11 07:39:14,2026-06-11 07:39:15,2,55.78653,12.72737,9.8,10.2,136.0657,127.2052,21.045048651264384,3
individual_fish,2026-06-11 07:44:30,2026-06-11 07:44:31,2,55.794125,12.714310000000001,9.8,9.8,101.13659999999999,97.7194,19.89980791728649,2
individual_fish,2026-06-11 07:45:44,2026-06-11 07:45:45,2,55.795405,12.71035,10.8,11.2,527.5594,267.9979,24.2813139096168,4
individual_fish,2026-06-11 07:46:47,2026-06-11 07:46:48,2,55.797070000000005,12.707664999999999,9.2,9.2,89.9035,79.4176,18.999167585462263,2
individual_fish,2026-06-11 07:47:29,2026-06-11 07:47:29,1,55.79816,12.70592,9.2,9.8,198.34650000000002,192.0636,22.834450649291202,2
individual_fish,2026-06-11 07:47:59,2026-06-11 07:48:00,2,55.798945,12.704585000000002,9.2,9.2,109.9093,84.9288,19.290549877718007,2
individual_fish,2026-06-11 07:50:03,2026-06-11 07:50:04,2,55.79643,12.702585,9.8,9.8,138.44,129.0277,21.106829557701417,2
individual_fish,2026-06-11 07:51:53,2026-06-11 07:51:54,2,55.793366666666664,12.704836666666667,8.8,9.2,169.05870000000002,122.3854,20.877296116197673,3
