category,start_time,end_time,duration_s,lat,lon,depth_min_m,depth_max_m,sv_sum,sv_max,sv_max_db,n_hits
individual_fish,2026-06-11 06:54:05,2026-06-11 06:54:05,1,55.73935,12.68939,7.8,8.2,238.8503,214.5454,23.315192073980164,2
individual_fish,2026-06-11 06:56:09,2026-06-11 06:56:10,2,55.74180333333334,12.695556666666667,7.8,8.2,497.34499999999997,490.6115,26.907377239111476,3
individual_fish,2026-06-11 06:57:30,2026-06-11 06:57:32,3,55.74345,12.699550000000002,7.8,8.8,3295.3914999999997,2751.4917,34.39568207080071,7
individual_fish,2026-06-11 06:58:31,2026-06-11 06:58:32,2,55.74474250000001,12.702477499999999,8.2,9.2,1097.9209999999998,1056.4623,30.238540038075477,4
school,2026-06-11 06:58:37,2026-06-11 06:58:39,3,55.74487833333333,12.702754999999998,7.8,8.8,6100.653600000001,3528.0559,35.475354576585374,6
individual_fish,2026-06-11 06:58:59,2026-06-11 06:59:01,3,55.745335999999995,12.703836,7.8,8.2,2221.5368,1559.0782,31.92867899009717,5
individual_fish,2026-06-11 07:00:19,2026-06-11 07:00:20,2,55.74705,12.707675,8.2,8.8,655.5299000000001,535.9016,27.290850536850257,4
individual_fish,2026-06-11 07:00:32,2026-06-11 07:00:33,2,55.747315,12.708324999999999,7.8,8.2,353.5487,242.2368,23.84240120734768,4
individual_fish,2026-06-11 07:00:49,2026-06-11 07:00:50,2,55.74769333333334,12.709133333333334,8.2,8.8,531.1437,362.0839,25.58809214414889,3
individual_fish,2026-06-11 07:01:05,2026-06-11 07:01:06,2,55.74802666666667,12.709906666666667,8.2,8.8,831.4479999999999,819.0518,29.133113690898035,3
individual_fish,2026-06-11 07:01:33,2026-06-11 07:01:34,2,55.748599999999996,12.711319999999999,8.8,9.2,1059.7361,707.6061,28.497915681394957,4
individual_fish,2026-06-11 07:02:06,2026-06-11 07:02:08,3,55.74930142857142,12.712949999999998,8.2,9.2,1812.1165999999998,1022.2358,30.09551086431582,7
individual_fish,2026-06-11 07:02:14,2026-06-11 07:02:17,4,55.74948875,12.71337125,8.2,9.2,1551.741,528.9955,27.23451977642972,8
individual_fish,2026-06-11 07:02:32,2026-06-11 07:02:33,2,55.74988,12.714185,7.8,8.8,2081.3705,1750.7266,32.43218330331301,6
individual_fish,2026-06-11 07:03:50,2026-06-11 07:03:51,2,55.75152799999999,12.718046000000001,8.2,9.2,456.2693,290.2177,24.62723895964965,5
individual_fish,2026-06-11 07:04:02,2026-06-11 07:04:03,2,55.75179333333333,12.718633333333335,8.2,8.8,446.4311,415.3143,26.18376884888285,3
individual_fish,2026-06-11 07:04:25,2026-06-11 07:04:25,1,55.75225,12.71975,8.8,9.2,163.7032,158.9391,22.012307494752605,2
individual_fish,2026-06-11 07:04:28,2026-06-11 07:04:29,2,55.75233,12.71992,8.2,8.8,221.9694,78.0134,18.92169205847284,4
individual_fish,2026-06-11 07:04:40,2026-06-11 07:04:41,2,55.75258,12.720486666666668,8.8,9.2,2916.0478,2214.5337,33.452822936127305,3
individual_fish,2026-06-11 07:05:05,2026-06-11 07:05:06,2,55.75312,12.721726666666667,8.8,9.2,121.68449999999999,83.3429,19.208686080973244,3
individual_fish,2026-06-11 07:05:48,2026-06-11 07:05:49,2,55.75403,12.723885,7.8,8.2,863.7473,584.0366,27.66440064030162,4
individual_fish,2026-06-11 07:06:45,2026-06-11 07:06:47,3,55.755246666666665,12.726731666666666,8.8,9.8,671.0980999999999,310.2485,24.917096904341108,6
individual_fish,2026-06-11 07:06:56,2026-06-11 07:06:56,1,55.75547,12.72721,9.2,9.2,195.567,195.567,22.912955737286648,1
individual_fish,2026-06-11 07:07:02,2026-06-11 07:07:03,2,55.75561666666666,12.727516666666666,9.2,9.8,186.29410000000001,110.1134,20.41840172667891,3
