category,start_time,end_time,duration_s,lat,lon,depth_min_m,depth_max_m,sv_sum,sv_max,sv_max_db,n_hits
school,2026-06-12 07:01:29,2026-06-12 07:07:34,366,55.75089321108394,12.722982811735942,5.2,9.8,69009.0453,2124.7805,33.273140720039734,1227
individual_fish,2026-06-12 07:01:38,2026-06-12 07:01:39,2,55.746615000000006,12.71647,7.8,8.2,569.7235000000001,296.6554,24.722522581811667,4
individual_fish,2026-06-12 07:01:54,2026-06-12 07:01:54,1,55.74699,12.71712,5.2,5.8,58.8942,37.7811,15.772745982913612,2
individual_fish,2026-06-12 07:01:56,2026-06-12 07:01:57,2,55.74705,12.717213333333333,8.2,8.8,328.63790000000006,203.1689,23.0785722924136,3
individual_fish,2026-06-12 07:02:20,2026-06-12 07:02:20,1,55.74764,12.7181,7.2,7.2,55.3816,55.3816,17.433654985589484,1
individual_fish,2026-06-12 07:02:51,2026-06-12 07:02:51,1,55.74848,12.71933,8.8,9.2,198.9432,196.5164,22.93398799659531,2
individual_fish,2026-06-12 07:03:17,2026-06-12 07:03:18,2,55.749129999999994,12.720324999999999,8.8,9.2,872.9167000000001,431.3432,26.34822955901765,4
individual_fish,2026-06-12 07:03:22,2026-06-12 07:03:22,1,55.74927,12.72056,6.2,7.2,127.6275,94.2478,19.742712213816876,3
individual_fish,2026-06-12 07:03:28,2026-06-12 07:03:30,3,55.74945,12.720828000000001,8.2,9.2,1063.1365999999998,894.1437,29.514073209233235,5
individual_fish,2026-06-12 07:03:34,2026-06-12 07:03:36,3,55.74961857142857,12.721057142857143,8.2,9.2,1489.6891999999998,710.0726,28.51302754588766,7
individual_fish,2026-06-12 07:03:41,2026-06-12 07:03:42,2,55.749784999999996,12.721290000000002,8.2,8.8,510.89970000000005,252.6512,24.02521365317731,4
individual_fish,2026-06-12 07:03:48,2026-06-12 07:03:48,1,55.74993,12.72149,9.2,9.2,311.2462,311.2462,24.931040578416063,1
individual_fish,2026-06-12 07:04:00,2026-06-12 07:04:01,2,55.75029000000001,12.722000000000001,8.2,8.8,211.86489999999998,154.3492,21.885043828528666,4
